Model,Accuracy,Precision_macro,Recall_macro,F1_macro,CV_F1_macro_mean,Train_time_s,Predict_time_ms
LightGBM,0.6325871717606544,0.4597817219938634,0.5044363910497451,0.46080158245759756,0.46497087178394797,0.896,0.0164
XGBoost,0.720619888075764,0.5654735760883389,0.42810107507968836,0.4371483434027124,0.4355582309182911,1.03,0.005
SVM (RBF),0.5443392165303487,0.449479869018704,0.5259685915611038,0.4207939588163477,0.41861113660498567,22.615,0.9662
Decision Tree,0.6181661644425313,0.4032665735503836,0.4061528412949869,0.4045325662219297,0.4108975648129321,0.479,0.001
Neural Network (MLP),0.7152389151958675,0.5684945387439253,0.4012099964360427,0.4001613748679414,0.38560981873351174,1.306,0.0009
Random Forest,0.7163151097718468,0.43889140878301863,0.3971080430917268,0.39173892312163533,0.3861642048637282,6.95,0.045
Logistic Regression,0.4920361601377529,0.4283058646138236,0.5184723461069195,0.38035150839664483,0.38341703140546585,3.822,0.0008
K-Nearest Neighbours,0.6967283684890229,0.5203186088433475,0.3813826779943485,0.37344436043284096,0.36247427280004724,0.007,0.0997
Naive Bayes,0.11472234179939733,0.40106494294922607,0.3732660253087998,0.10201303456031875,0.08473324031794122,0.014,0.0021
